description,population,start_date,end_date,location,zones,annee_scolaire
Pont de l'Ascension,-,2024-05-08 22:00:00+00:00,2024-05-12 22:00:00+00:00,Montpellier,Zone C,2023-2024
Vacances d'Été,Élèves,2024-07-05 22:00:00+00:00,2024-09-01 22:00:00+00:00,Créteil,Zone C,2023-2024
Vacances de la Toussaint,-,2024-10-18 22:00:00+00:00,2024-11-03 23:00:00+00:00,Créteil,Zone C,2024-2025
Vacances de la Toussaint,-,2024-10-18 22:00:00+00:00,2024-11-03 23:00:00+00:00,Paris,Zone C,2024-2025
Vacances de Noël,-,2024-12-20 23:00:00+00:00,2025-01-05 23:00:00+00:00,Toulouse,Zone C,2024-2025
Vacances d'Hiver,-,2025-02-14 23:00:00+00:00,2025-03-02 23:00:00+00:00,Paris,Zone C,2024-2025
Pont de l'Ascension,-,2025-05-28 22:00:00+00:00,2025-06-01 22:00:00+00:00,Créteil,Zone C,2024-2025
Pont de l'Ascension,-,2025-05-28 22:00:00+00:00,2025-06-01 22:00:00+00:00,Toulouse,Zone C,2024-2025
Vacances d'Été,Élèves,2025-07-04 22:00:00+00:00,2025-08-31 22:00:00+00:00,Créteil,Zone C,2024-2025
Vacances d'Été,Élèves,2025-07-04 22:00:00+00:00,2025-08-31 22:00:00+00:00,Versailles,Zone C,2024-2025
Vacances d'Été,Enseignants,2025-07-04 22:00:00+00:00,2025-08-28 22:00:00+00:00,Versailles,Zone C,2024-2025
Vacances de la Toussaint,-,2025-10-17 22:00:00+00:00,2025-11-02 23:00:00+00:00,Versailles,Zone C,2025-2026
Vacances de Noël,-,2025-12-19 23:00:00+00:00,2026-01-04 23:00:00+00:00,Versailles,Zone C,2025-2026
Pont de l'Ascension,-,2026-05-13 22:00:00+00:00,2026-05-17 22:00:00+00:00,Créteil,Zone C,2025-2026
Vacances d'Été,Enseignants,2026-07-03 22:00:00+00:00,2026-08-30 22:00:00+00:00,Créteil,Zone C,2025-2026
Vacances d'Été,Enseignants,2026-07-03 22:00:00+00:00,2026-08-30 22:00:00+00:00,Paris,Zone C,2025-2026
Vacances de la Toussaint,-,2026-10-16 22:00:00+00:00,2026-11-01 23:00:00+00:00,Créteil,Zone C,2026-2027
Vacances de la Toussaint,-,2026-10-16 22:00:00+00:00,2026-11-01 23:00:00+00:00,Paris,Zone C,2026-2027
Vacances de la Toussaint,-,2026-10-16 22:00:00+00:00,2026-11-01 23:00:00+00:00,Versailles,Zone C,2026-2027
Vacances d'Hiver,-,2027-02-05 23:00:00+00:00,2027-02-21 23:00:00+00:00,Créteil,Zone C,2026-2027
Vacances d'Hiver,-,2027-02-05 23:00:00+00:00,2027-02-21 23:00:00+00:00,Versailles,Zone C,2026-2027
Pont de l'Ascension,-,2027-05-06 22:00:00+00:00,2027-05-06 22:00:00+00:00,Paris,Zone C,2026-2027
Début des Vacances d'Été,-,2027-07-02 22:00:00+00:00,2027-07-02 22:00:00+00:00,Créteil,Zone C,2026-2027
Début des Vacances d'Été,-,2027-07-02 22:00:00+00:00,2027-07-02 22:00:00+00:00,Toulouse,Zone C,2026-2027
Vacances de la Toussaint,-,2017-10-20 22:00:00+00:00,2017-11-05 23:00:00+00:00,Créteil,Zone C,2017-2018
Vacances de la Toussaint,-,2017-10-20 22:00:00+00:00,2017-11-05 23:00:00+00:00,Versailles,Zone C,2017-2018
Vacances de Noël,-,2017-12-22 23:00:00+00:00,2018-01-07 23:00:00+00:00,Toulouse,Zone C,2017-2018
Vacances de Printemps,-,2018-04-13 22:00:00+00:00,2018-04-29 22:00:00+00:00,Montpellier,Zone C,2017-2018
Vacances d'Été,Élèves,2018-07-06 22:00:00+00:00,2018-09-02 22:00:00+00:00,Versailles,Zone C,2017-2018
Vacances d'Été,Enseignants,2018-07-06 22:00:00+00:00,2018-08-30 22:00:00+00:00,Créteil,Zone C,2017-2018
Vacances d'Été,Enseignants,2018-07-06 22:00:00+00:00,2018-08-30 22:00:00+00:00,Montpellier,Zone C,2017-2018
Vacances de la Toussaint,-,2018-10-19 22:00:00+00:00,2018-11-04 23:00:00+00:00,Toulouse,Zone C,2018-2019
Vacances de la Toussaint,-,2018-10-19 22:00:00+00:00,2018-11-04 23:00:00+00:00,Versailles,Zone C,2018-2019
Vacances de Noël,-,2018-12-21 23:00:00+00:00,2019-01-06 23:00:00+00:00,Créteil,Zone C,2018-2019
Vacances de Noël,-,2018-12-21 23:00:00+00:00,2019-01-06 23:00:00+00:00,Versailles,Zone C,2018-2019
Pont de l'Ascension,-,2019-05-28 22:00:00+00:00,2019-06-02 22:00:00+00:00,Créteil,Zone C,2018-2019
Vacances d'Été,Élèves,2019-07-05 22:00:00+00:00,2019-09-01 22:00:00+00:00,Montpellier,Zone C,2018-2019
Vacances d'Été,Élèves,2019-07-05 22:00:00+00:00,2019-09-01 22:00:00+00:00,Toulouse,Zone C,2018-2019
Vacances d'Été,Élèves,2019-07-05 22:00:00+00:00,2019-09-01 22:00:00+00:00,Versailles,Zone C,2018-2019
Vacances d'Été,Enseignants,2019-07-05 22:00:00+00:00,2019-08-29 22:00:00+00:00,Versailles,Zone C,2018-2019
Vacances d'Hiver,-,2020-02-07 23:00:00+00:00,2020-02-23 23:00:00+00:00,Montpellier,Zone C,2019-2020
Pont de l'Ascension,-,2020-05-19 22:00:00+00:00,2020-05-24 22:00:00+00:00,Toulouse,Zone C,2019-2020
Vacances d'Été,Enseignants,2020-07-03 22:00:00+00:00,2020-08-30 22:00:00+00:00,Paris,Zone C,2019-2020
